Day of created_at_local,Id (Hist Views),id (hist_projects),project_id,username,action_view,created_at_local,Name (Hist Views),Name (Hist Workbooks),Site,Action,Created At,Day of the week,Number of Records,tz_offset_days
2022년 3월 10일,3591,4,4,5947,Access View,2022-03-10 오후 1:37:11,재해 추이,안전 현황,Default,Access View ,2022-03-10 오전 4:37:11,Thursday,1,0.375
2022년 3월 10일,3592,4,4,5947,Access View,2022-03-10 오후 1:37:16,재해 유형,안전 현황,Default,Access View ,2022-03-10 오전 4:37:16,Thursday,1,0.375
2022년 3월 10일,3593,4,4,5947,Access View,2022-03-10 오후 1:37:22,현장/협력사별 재해 현황,안전 현황,Default,Access View ,2022-03-10 오전 4:37:22,Thursday,1,0.375
2022년 3월 10일,3590,4,4,5947,Access View,2022-03-10 오후 1:37:35,재해 현황,안전 현황,Default,Access View ,2022-03-10 오전 4:37:35,Thursday,1,0.375
2022년 3월 10일,3590,4,4,5947,Access View,2022-03-10 오후 1:46:48,재해 현황,안전 현황,Default,Access View ,2022-03-10 오전 4:46:48,Thursday,1,0.375
2022년 3월 10일,3591,4,4,5947,Access View,2022-03-10 오후 1:47:01,재해 추이,안전 현황,Default,Access View ,2022-03-10 오전 4:47:01,Thursday,1,0.375
2022년 3월 10일,3593,4,4,5947,Access View,2022-03-10 오후 1:47:17,현장/협력사별 재해 현황,안전 현황,Default,Access View ,2022-03-10 오전 4:47:17,Thursday,1,0.375
2022년 3월 10일,3590,4,4,5947,Access View,2022-03-10 오후 1:48:01,재해 현황,안전 현황,Default,Access View ,2022-03-10 오전 4:48:01,Thursday,1,0.375
2022년 3월 10일,3592,4,4,5947,Access View,2022-03-10 오후 1:48:13,재해 유형,안전 현황,Default,Access View ,2022-03-10 오전 4:48:13,Thursday,1,0.375
2022년 3월 10일,3592,4,4,5947,Access View,2022-03-10 오후 1:49:19,재해 유형,안전 현황,Default,Access View ,2022-03-10 오전 4:49:19,Thursday,1,0.375
2022년 3월 10일,3591,4,4,5947,Access View,2022-03-10 오후 1:49:26,재해 추이,안전 현황,Default,Access View ,2022-03-10 오전 4:49:26,Thursday,1,0.375
2022년 3월 10일,3592,4,4,5947,Access View,2022-03-10 오후 1:49:30,재해 유형,안전 현황,Default,Access View ,2022-03-10 오전 4:49:30,Thursday,1,0.375
2022년 3월 10일,3591,4,4,5947,Access View,2022-03-10 오후 1:49:47,재해 추이,안전 현황,Default,Access View ,2022-03-10 오전 4:49:47,Thursday,1,0.375
2022년 3월 10일,3593,4,4,5947,Access View,2022-03-10 오후 1:49:55,현장/협력사별 재해 현황,안전 현황,Default,Access View ,2022-03-10 오전 4:49:55,Thursday,1,0.375
2022년 3월 10일,3592,4,4,5947,Access View,2022-03-10 오후 1:50:06,재해 유형,안전 현황,Default,Access View ,2022-03-10 오전 4:50:06,Thursday,1,0.375
2022년 3월 10일,3591,4,4,5947,Access View,2022-03-10 오후 1:50:36,재해 추이,안전 현황,Default,Access View ,2022-03-10 오전 4:50:36,Thursday,1,0.375
2022년 3월 10일,3593,4,4,5947,Access View,2022-03-10 오후 1:50:49,현장/협력사별 재해 현황,안전 현황,Default,Access View ,2022-03-10 오전 4:50:49,Thursday,1,0.375
2022년 3월 10일,3591,4,4,5947,Access View,2022-03-10 오후 1:51:27,재해 추이,안전 현황,Default,Access View ,2022-03-10 오전 4:51:27,Thursday,1,0.375
2022년 3월 10일,3592,4,4,5947,Access View,2022-03-10 오후 1:51:30,재해 유형,안전 현황,Default,Access View ,2022-03-10 오전 4:51:30,Thursday,1,0.375
2022년 3월 10일,3592,4,4,5947,Access View,2022-03-10 오후 1:50:54,재해 유형,안전 현황,Default,Access View ,2022-03-10 오전 4:50:54,Thursday,1,0.375
