name (hist_projects),id (hist_projects),project_id,Id (Hist Views),username,action_view,created_at_local,Name (Hist Views),Name (Hist Workbooks),Site,Action,Created At,Number of Records,tz_offset_days
EIS,4,4,553,admin,Access View,2021-09-23 오후 2:19:42,재무제표 및 부문별 정보,경영현황,Default,Access View ,2021-09-23 오전 5:19:42,1,0.375
EIS,4,4,599,admin,Access View,2021-09-23 오후 2:26:11,수주/공급 현황,"수주, 공급, 판매",Default,Access View ,2021-09-23 오전 5:26:11,1,0.375
EIS,4,4,599,admin,Access View,2021-09-23 오후 2:43:31,수주/공급 현황,"수주, 공급, 판매",Default,Access View ,2021-09-23 오전 5:43:31,1,0.375
EIS,4,4,600,admin,Access View,2021-09-23 오후 2:44:03,수주/공급/분양,"수주, 공급, 판매",Default,Access View ,2021-09-23 오전 5:44:03,1,0.375
EIS,4,4,598,admin,Access View,2021-09-23 오후 2:44:06,카드,"수주, 공급, 판매",Default,Access View ,2021-09-23 오전 5:44:06,1,0.375
EIS,4,4,599,admin,Access View,2021-09-23 오후 2:44:15,수주/공급 현황,"수주, 공급, 판매",Default,Access View ,2021-09-23 오전 5:44:15,1,0.375
기본값,3,1,152,admin,Access View,2021-09-23 오후 2:52:28,주요 재무 현황 및 지표,주요 재무 현황 및 지표,Default,Access View ,2021-09-23 오전 5:52:28,1,0.375
기본값,3,1,306,admin,Access View,2021-09-23 오후 2:53:08,카드,"수주, 공급, 판매",Default,Access View ,2021-09-23 오전 5:53:08,1,0.375
EIS,4,4,599,admin,Access View,2021-09-23 오후 2:53:36,수주/공급 현황,"수주, 공급, 판매",Default,Access View ,2021-09-23 오전 5:53:36,1,0.375
기본값,3,1,152,admin,Access View,2021-09-23 오후 2:53:40,주요 재무 현황 및 지표,주요 재무 현황 및 지표,Default,Access View ,2021-09-23 오전 5:53:40,1,0.375
EIS,4,4,628,admin,Access View,2021-09-23 오후 2:58:26,카드,재무현황,Default,Access View ,2021-09-23 오전 5:58:26,1,0.375
EIS,4,4,629,admin,Access View,2021-09-23 오후 3:02:01,자금,재무현황,Default,Access View ,2021-09-23 오전 6:02:01,1,0.375
EIS,4,4,629,admin,Access View,2021-09-23 오후 3:02:11,자금,재무현황,Default,Access View ,2021-09-23 오전 6:02:11,1,0.375
EIS,4,4,629,admin,Access View,2021-09-23 오후 3:03:25,자금,재무현황,Default,Access View ,2021-09-23 오전 6:03:25,1,0.375
EIS,4,4,629,admin,Access View,2021-09-23 오후 3:04:14,자금,재무현황,Default,Access View ,2021-09-23 오전 6:04:14,1,0.375
EIS,4,4,599,admin,Access View,2021-09-23 오후 3:11:50,수주/공급 현황,"수주, 공급, 판매",Default,Access View ,2021-09-23 오전 6:11:50,1,0.375
